Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,9.0,SSE-Elbow,1219780.4426813447,9
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,9.0,DB,1.4625736786376085,9
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,9.0,BIC,1220864.9190713083,9
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,10.0,VRC,12654.180462844752,10
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,10.0,Silhouette,0.18391844181758865,10
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,10.0,SSE-Elbow,1176818.6679573422,10
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,10.0,DB,1.4873148015808326,10
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,10.0,BIC,1178025.2420727685,10
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,11.0,VRC,12171.211363753348,11
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,11.0,Silhouette,0.19647697309912132,11
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,11.0,SSE-Elbow,1127446.199951762,11
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,11.0,DB,1.460800236249285,11
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,11.0,BIC,1128774.8121356491,11
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,12.0,VRC,11435.854445723871,12
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,12.0,Silhouette,0.1959297257276315,12
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,12.0,SSE-Elbow,1103293.0276936728,12
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,12.0,DB,1.3827009971238855,12
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,12.0,BIC,1104740.9681330142,12
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,13.0,VRC,11162.217778013455,13
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,13.0,Silhouette,0.19514651325422097,13
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,13.0,SSE-Elbow,1058032.1621060614,13
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,13.0,DB,1.352474510697043,13
